Category*,End Date*,Purpose*,Start Date*,Start*,Stop*,Miles*
Business,19-03-2016 16:38:00,Meal/Entertain,19-03-2016 15:34:00,Houston,Galveston,36.5
Business,19-03-2016 17:32:00,Meal/Entertain,19-03-2016 17:17:00,Galveston,Port Bolivar,3.1
Business,19-03-2016 17:47:00,Errand/Supplies,19-03-2016 17:37:00,Port Bolivar,Port Bolivar,2.1
Business,19-03-2016 18:00:00,,19-03-2016 17:52:00,Port Bolivar,Port Bolivar,1.2
Business,19-03-2016 19:29:00,Meeting,19-03-2016 18:53:00,Port Bolivar,Galveston,7.5
Business,19-03-2016 20:39:00,Customer Visit,19-03-2016 19:33:00,Galveston,Houston,57
Business,20-03-2016 07:48:00,Meeting,20-03-2016 07:37:00,Midtown,Washington Avenue,5.9
Business,20-03-2016 11:56:00,Meeting,20-03-2016 11:42:00,Washington Avenue,Midtown,6.2
Business,20-03-2016 17:34:00,,20-03-2016 17:08:00,Midtown,Sharpstown,10.4
Personal,20-03-2016 18:40:00,,20-03-2016 18:34:00,Sharpstown,Briar Meadow,1.2
Business,20-03-2016 19:06:00,Customer Visit,20-03-2016 18:45:00,Briar Meadow,Midtown,9.6
Personal,21-03-2016 10:26:00,,21-03-2016 10:21:00,Midtown,Downtown,1
Business,21-03-2016 16:13:00,Meal/Entertain,21-03-2016 16:05:00,Downtown,Midtown,0.9
Business,21-03-2016 19:15:00,,21-03-2016 18:59:00,Midtown,Sharpstown,8.8
Business,21-03-2016 20:55:00,Meal/Entertain,21-03-2016 20:18:00,Sharpstown,Midtown,25.6
Business,22-03-2016 06:43:00,Meal/Entertain,22-03-2016 06:17:00,Midtown,Greater Greenspoint,23
Personal,22-03-2016 12:24:00,,22-03-2016 12:06:00,Morrisville,Cary,8.1
Personal,22-03-2016 19:25:00,,22-03-2016 19:12:00,Whitebridge,Whitebridge,1.4
Personal,23-03-2016 14:42:00,,23-03-2016 14:37:00,Whitebridge,Preston,1.7
Personal,23-03-2016 14:59:00,,23-03-2016 14:53:00,Preston,Whitebridge,1.6
Personal,24-03-2016 19:54:00,,24-03-2016 19:47:00,Whitebridge,Westpark Place,2
Business,24-03-2016 20:40:00,,24-03-2016 20:34:00,Westpark Place,Whitebridge,2.2
Business,25-03-2016 16:22:00,Customer Visit,25-03-2016 13:24:00,Cary,Latta,144
Business,25-03-2016 22:22:00,Customer Visit,25-03-2016 16:52:00,Latta,Jacksonville,310.3
Business,26-03-2016 01:39:00,Meeting,25-03-2016 22:54:00,Jacksonville,Kissimmee,201
Personal,26-03-2016 14:29:00,,26-03-2016 14:05:00,Couples Glen,Isles of Buena Vista,6.7
Personal,26-03-2016 15:49:00,,26-03-2016 15:19:00,Kissimmee,Orlando,8.8
Personal,26-03-2016 16:30:00,,26-03-2016 16:26:00,Lake Reams,Lake Reams,1.2
